id,name,no_ep
1,Rick Sanchez,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/20', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/23', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/33', 'https://rickandmortyapi.com/api/episode/34', 'https://rickandmortyapi.com/api/episode/35', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/37', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/40', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/42', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/44', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/46', 'https://rickandmortyapi.com/api/episode/47', 'https://rickandmortyapi.com/api/episode/48', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/50', 'https://rickandmortyapi.com/api/episode/51']"
2,Morty Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/20', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/23', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/33', 'https://rickandmortyapi.com/api/episode/34', 'https://rickandmortyapi.com/api/episode/35', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/37', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/40', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/42', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/44', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/46', 'https://rickandmortyapi.com/api/episode/47', 'https://rickandmortyapi.com/api/episode/48', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/50', 'https://rickandmortyapi.com/api/episode/51']"
3,Summer Smith,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/20', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/23', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/33', 'https://rickandmortyapi.com/api/episode/34', 'https://rickandmortyapi.com/api/episode/35', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/40', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/42', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/44', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/46', 'https://rickandmortyapi.com/api/episode/47', 'https://rickandmortyapi.com/api/episode/48', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/51']"
4,Beth Smith,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/20', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/23', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/33', 'https://rickandmortyapi.com/api/episode/34', 'https://rickandmortyapi.com/api/episode/35', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/40', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/42', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/44', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/46', 'https://rickandmortyapi.com/api/episode/47', 'https://rickandmortyapi.com/api/episode/48', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/51']"
5,Jerry Smith,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/20', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/23', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/33', 'https://rickandmortyapi.com/api/episode/35', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/40', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/42', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/44', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/46', 'https://rickandmortyapi.com/api/episode/47', 'https://rickandmortyapi.com/api/episode/48', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/50', 'https://rickandmortyapi.com/api/episode/51']"
6,Abadango Cluster Princess,['https://rickandmortyapi.com/api/episode/27']
7,Abradolf Lincler,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11']"
8,Adjudicator Rick,['https://rickandmortyapi.com/api/episode/28']
9,Agency Director,['https://rickandmortyapi.com/api/episode/24']
10,Alan Rails,['https://rickandmortyapi.com/api/episode/25']
11,Albert Einstein,['https://rickandmortyapi.com/api/episode/12']
12,Alexander,['https://rickandmortyapi.com/api/episode/3']
13,Alien Googah,['https://rickandmortyapi.com/api/episode/31']
14,Alien Morty,['https://rickandmortyapi.com/api/episode/10']
15,Alien Rick,['https://rickandmortyapi.com/api/episode/10']
16,Amish Cyborg,['https://rickandmortyapi.com/api/episode/15']
17,Annie,['https://rickandmortyapi.com/api/episode/3']
18,Antenna Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
19,Antenna Rick,['https://rickandmortyapi.com/api/episode/10']
20,Ants in my Eyes Johnson,['https://rickandmortyapi.com/api/episode/8']
21,Aqua Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
22,Aqua Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']"
23,Arcade Alien,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26']"
24,Armagheadon,['https://rickandmortyapi.com/api/episode/16']
25,Armothy,['https://rickandmortyapi.com/api/episode/23']
26,Arthricia,['https://rickandmortyapi.com/api/episode/20']
27,Artist Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
28,Attila Starwar,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
29,Baby Legs,['https://rickandmortyapi.com/api/episode/8']
30,Baby Poopybutthole,['https://rickandmortyapi.com/api/episode/31']
31,Baby Wizard,['https://rickandmortyapi.com/api/episode/15']
32,Bearded Lady,['https://rickandmortyapi.com/api/episode/15']
33,Beebo,['https://rickandmortyapi.com/api/episode/29']
34,Benjamin,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
35,Bepisian,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/25']"
36,Beta-Seven,['https://rickandmortyapi.com/api/episode/14']
37,Beth Sanchez,['https://rickandmortyapi.com/api/episode/8']
38,Beth Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
39,Beth Smith,['https://rickandmortyapi.com/api/episode/10']
40,Beth's Mytholog,['https://rickandmortyapi.com/api/episode/18']
41,Big Boobed Waitress,['https://rickandmortyapi.com/api/episode/5']
42,Big Head Morty,['https://rickandmortyapi.com/api/episode/22']
43,Big Morty,['https://rickandmortyapi.com/api/episode/28']
44,Body Guard Morty,['https://rickandmortyapi.com/api/episode/28']
45,Bill,['https://rickandmortyapi.com/api/episode/3']
46,Bill,['https://rickandmortyapi.com/api/episode/2']
47,Birdperson,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/51']"
48,Black Rick,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']"
49,Blamph,['https://rickandmortyapi.com/api/episode/19']
50,Blim Blam,['https://rickandmortyapi.com/api/episode/14']
51,Blue Diplomat,['https://rickandmortyapi.com/api/episode/19']
52,Blue Footprint Guy,['https://rickandmortyapi.com/api/episode/23']
53,Blue Shirt Morty,['https://rickandmortyapi.com/api/episode/10']
54,Bobby Moynihan,['https://rickandmortyapi.com/api/episode/8']
55,Boobloosian,"['https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']"
56,Bootleg Portal Chemist Rick,['https://rickandmortyapi.com/api/episode/28']
57,Borpocian,['https://rickandmortyapi.com/api/episode/22']
58,Brad,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/46']"
59,Brad Anderson,['https://rickandmortyapi.com/api/episode/7']
60,Calypso,['https://rickandmortyapi.com/api/episode/25']
61,Campaign Manager Morty,['https://rickandmortyapi.com/api/episode/28']
62,Canklanker Thom,['https://rickandmortyapi.com/api/episode/1']
63,Centaur,['https://rickandmortyapi.com/api/episode/2']
64,Chris,['https://rickandmortyapi.com/api/episode/12']
65,Chris,['https://rickandmortyapi.com/api/episode/17']
66,Coach Feratu (Balik Alistane),['https://rickandmortyapi.com/api/episode/18']
67,Collector,['https://rickandmortyapi.com/api/episode/29']
68,Colossus,['https://rickandmortyapi.com/api/episode/23']
69,Commander Rick,['https://rickandmortyapi.com/api/episode/22']
70,Concerto,['https://rickandmortyapi.com/api/episode/24']
71,Conroy,['https://rickandmortyapi.com/api/episode/22']
72,Cool Rick,['https://rickandmortyapi.com/api/episode/28']
73,Cop Morty,['https://rickandmortyapi.com/api/episode/28']
74,Cop Rick,['https://rickandmortyapi.com/api/episode/28']
75,Courier Flap,['https://rickandmortyapi.com/api/episode/21']
76,Cousin Nicky,['https://rickandmortyapi.com/api/episode/15']
77,Cowboy Morty,['https://rickandmortyapi.com/api/episode/10']
78,Cowboy Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
79,Crab Spider,['https://rickandmortyapi.com/api/episode/10']
80,Creepy Little Girl,['https://rickandmortyapi.com/api/episode/2']
81,Crocubot,['https://rickandmortyapi.com/api/episode/25']
82,Cronenberg Rick,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/10']"
83,Cronenberg Morty,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/10']"
84,Cult Leader Morty,['https://rickandmortyapi.com/api/episode/10']
85,Cyclops Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
86,Cyclops Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']"
87,Cynthia,['https://rickandmortyapi.com/api/episode/4']
88,Cynthia,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25']"
89,Dale,['https://rickandmortyapi.com/api/episode/5']
90,Daron Jefferson,['https://rickandmortyapi.com/api/episode/14']
91,David Letterman,['https://rickandmortyapi.com/api/episode/8']
92,Davin,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/6']"
93,Diablo Verde,['https://rickandmortyapi.com/api/episode/25']
94,Diane Sanchez,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
95,Dipper and Mabel Mortys,['https://rickandmortyapi.com/api/episode/22']
96,Tuberculosis,['https://rickandmortyapi.com/api/episode/3']
97,Gonorrhea,['https://rickandmortyapi.com/api/episode/3']
98,Hepatitis A,['https://rickandmortyapi.com/api/episode/3']
99,Hepatitis C,['https://rickandmortyapi.com/api/episode/3']
100,Bubonic Plague,['https://rickandmortyapi.com/api/episode/3']
101,E. Coli,['https://rickandmortyapi.com/api/episode/3']
102,Donna Gueterman,['https://rickandmortyapi.com/api/episode/21']
103,Doofus Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
104,Doom-Nomitron,['https://rickandmortyapi.com/api/episode/25']
105,Dr. Glip-Glop,['https://rickandmortyapi.com/api/episode/19']
106,Dr. Schmidt,['https://rickandmortyapi.com/api/episode/13']
107,Dr. Wong,"['https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/41']"
108,Dr. Xenon Bloom,['https://rickandmortyapi.com/api/episode/3']
109,Duck With Muscles,['https://rickandmortyapi.com/api/episode/15']
110,Eli,['https://rickandmortyapi.com/api/episode/23']
111,Eli's Girlfriend,['https://rickandmortyapi.com/api/episode/23']
112,Eric McMan,['https://rickandmortyapi.com/api/episode/3']
113,Eric Stoltz Mask Morty,['https://rickandmortyapi.com/api/episode/10']
114,Ethan,['https://rickandmortyapi.com/api/episode/3']
115,Ethan,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/26']"
116,Evil Beth Clone,['https://rickandmortyapi.com/api/episode/5']
117,Evil Jerry Clone,['https://rickandmortyapi.com/api/episode/5']
118,Evil Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/51']"
119,Evil Rick,['https://rickandmortyapi.com/api/episode/10']
120,Evil Summer Clone,['https://rickandmortyapi.com/api/episode/5']
121,Eyehole Man,['https://rickandmortyapi.com/api/episode/19']
122,Fart,['https://rickandmortyapi.com/api/episode/13']
123,Fat Morty,['https://rickandmortyapi.com/api/episode/28']
124,Father Bob,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/27']"
125,Flansian,"['https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']"
126,Fleeb,['https://rickandmortyapi.com/api/episode/19']
127,Frank Palicky,['https://rickandmortyapi.com/api/episode/1']
128,Frankenstein's Monster,['https://rickandmortyapi.com/api/episode/15']
129,Fulgora,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
130,Galactic Federation President,['https://rickandmortyapi.com/api/episode/21']
131,Gar Gloonch,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']"
132,Gar's Mytholog,['https://rickandmortyapi.com/api/episode/18']
133,Garblovian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']"
134,Garmanarnar,['https://rickandmortyapi.com/api/episode/8']
135,Garment District Rick,['https://rickandmortyapi.com/api/episode/28']
136,Gazorpazorpfield,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13']"
137,Gene,"['https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/49']"
138,General Nathan,['https://rickandmortyapi.com/api/episode/16']
139,General Store Owner,['https://rickandmortyapi.com/api/episode/20']
140,Genital Washer,['https://rickandmortyapi.com/api/episode/23']
141,Ghost in a Jar,['https://rickandmortyapi.com/api/episode/15']
142,Gibble Snake,['https://rickandmortyapi.com/api/episode/26']
143,Glasses Morty,['https://rickandmortyapi.com/api/episode/28']
144,Glenn,['https://rickandmortyapi.com/api/episode/1']
145,Glenn,['https://rickandmortyapi.com/api/episode/8']
146,Glexo Slim Slom,['https://rickandmortyapi.com/api/episode/18']
147,Gobo,['https://rickandmortyapi.com/api/episode/29']
148,Goddess Beth,['https://rickandmortyapi.com/api/episode/18']
149,Gordon Lunas,['https://rickandmortyapi.com/api/episode/29']
150,Cornvelious Daniel,['https://rickandmortyapi.com/api/episode/22']
151,Gwendolyn,['https://rickandmortyapi.com/api/episode/7']
152,Hammerhead Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
153,Hamster In Butt,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/19']"
154,Hamurai,['https://rickandmortyapi.com/api/episode/15']
155,Harold,['https://rickandmortyapi.com/api/episode/6']
156,Hemorrhage,['https://rickandmortyapi.com/api/episode/23']
157,Hole in the Wall Where the Men Can See it All,['https://rickandmortyapi.com/api/episode/8']
158,Hookah Alien,['https://rickandmortyapi.com/api/episode/1']
159,Hunter,['https://rickandmortyapi.com/api/episode/17']
160,Hunter's Father,['https://rickandmortyapi.com/api/episode/17']
161,Hydrogen-F,['https://rickandmortyapi.com/api/episode/16']
162,Ice-T,['https://rickandmortyapi.com/api/episode/16']
163,Ideal Jerry,['https://rickandmortyapi.com/api/episode/18']
164,Insurance Rick,['https://rickandmortyapi.com/api/episode/10']
165,Investigator Rick,['https://rickandmortyapi.com/api/episode/28']
166,Invisi-trooper,['https://rickandmortyapi.com/api/episode/31']
167,Izzy,['https://rickandmortyapi.com/api/episode/24']
168,Jackie,['https://rickandmortyapi.com/api/episode/7']
169,Jacob,"['https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/15']"
170,Jacqueline,['https://rickandmortyapi.com/api/episode/27']
171,Jaguar,['https://rickandmortyapi.com/api/episode/24']
172,Jamey,['https://rickandmortyapi.com/api/episode/16']
173,Jan-Michael Vincent,['https://rickandmortyapi.com/api/episode/19']
174,Jerry 5-126,['https://rickandmortyapi.com/api/episode/13']
175,Jerry Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22']"
176,Celebrity Jerry,['https://rickandmortyapi.com/api/episode/8']
177,Jerry Smith,['https://rickandmortyapi.com/api/episode/10']
178,Jerry's Mytholog,['https://rickandmortyapi.com/api/episode/18']
